字母開頭,字彙,詞類,中文,級數
a,airplane,noun,"飛機=plane,aeroplane(BritishEnglish)",初級
a,airport,noun,機場,初級
a,alarm,noun,鬧鐘、鬧鈴裝置；警報、警報器,初級
a,album,noun,相簿、集郵簿、音樂專輯,初級
a,alike,adv./adj.,相似地、同樣地；相似的,初級
a,alive,adj.,活著的、仍然存在的,初級
a,all,adj./pron./adv.,全部(的/地),初級
a,allow,verb,准許,初級
a,almost,adv.,幾乎、差不多,初級
a,alone,adv./adj.,單獨(的)、獨自(的)、孤獨無伴(的),初級
a,along,prep.,沿著,初級
a,along,adv.,向前、一起、來到,初級
a,aloud,adv.,大聲地,初級
a,alphabet,noun,字母表,初級
a,already,adv.,已經,初級
a,also,adv.,也、此外,初級
a,although,conj.,雖然,初級
a,altogether,adv.,全部、總共、總之,初級
a,always,adv.,總是、一直,初級
a,am,verb,(主語為第一人稱單數)是,初級
a,ambulance,noun,救護車,初級
A,America,noun,美國、美洲,初級
A,American,adj./noun,美國的、美洲的；美國人,初級
a,among,prep.,在...之中、在三者或以上之間,初級
a,amount,noun,數量,初級
a,ancient,adj.,古代的、古老的,初級
a,and,conj.,和、又、加上、接連,初級
a,angel,noun,天使,初級
a,anger,noun,憤怒、怒氣,初級
a,angry,adj.,生氣的、憤怒的,初級
a,animal,noun,動物,初級
a,ankle,noun,腳踝,初級
a,another,pron./adj.,另一個、再一個；另外的、再一,初級
a,answer,noun/verb,答案、回答；答覆、作答,初級
a,ant,noun,螞蟻,初級
a,any,pron./adj.,任何一個、一些；任何的、絲毫的,初級
a,any,adv.,(用於否定或疑問句)稍、根本,初級
a,anybody,pron.,任何人=anyone,初級
a,anymore,adv.,再也不、不再=anymore,初級
a,anyone,pron.,任何人=anybody,初級
a,anything,pron.,任何東西、任何事情,初級
a,anytime,adv.,在任何時候=anytime,初級
a,anyway,adv.,無論如何、不管怎樣、反正,初級
a,anywhere,adv.,任何地方=anyplace,初級
a,apartment,noun,公寓=flat(BritishEnglish),初級
a,apologize,verb,道歉=apoligise(BritishEnglish),初級
a,appear,verb,出現、顯現,初級
a,appear,verb,看來好像、似乎=seem,初級
a,appearance,noun,出現、公開露面；外貿、外表,初級
a,apple,noun,蘋果,初級
a,apply,verb,申請、請求；應用；適用；塗、敷,初級
a,appreciate,verb,欣賞、賞識；感激、感謝,初級
A,April,noun,四月=Apr.,初級
a,are,verb,(主詞為we、you、they的現在式)是,初級
a,area,noun,地區、範圍、面積,初級
a,argue,verb,爭吵、爭論,初級
a,arm,noun,手臂、袖子、扶手,初級
a,arm,verb,武裝、備戰,初級
a,armchair,noun,扶手椅,初級
a,army,noun,軍隊、陸軍；大批、大群,初級
a,around,prep./adv.,圍繞、在...附近、大約,初級
a,arrange,verb,安排、籌劃；排列、佈置,初級
a,arrest,verb/noun,逮捕,初級
a,arrive,verb,到達、來臨,初級
a,art,noun,藝術、美術,初級
a,article,noun,文章、報導；物品、物件、(語法)冠詞,初級
a,artist,noun,藝術家、畫家,初級
a,as,conj.,因為、當...時、以...的方式,初級
a,as,prep.,作為、以...的身分,初級
a,as,adv.,像...一樣、和...一樣,初級
A,Asia,noun,亞洲,初級
A,Asian,adj./noun,亞洲的、亞洲人的；亞洲人,初級
a,ask,verb,詢問、請求,初級
a,asleep,adj.,睡著的,初級
a,assistant,noun/adj.,助手、助理；(常用於頭銜)助理的、副的,初級
a,assume,verb,假定為、假設,初級
a,at,prep.,在...時刻、在...地點或位置、對著,初級
a,attack,noun/verb,攻擊、進攻、抨擊,初級
a,attend,verb,出席、參加,初級
a,attention,noun,注意力、關注,初級
a,audience,noun,聽眾、觀眾,初級
A,August,noun,八月=Aug.,初級
a,aunt,noun,姑姑、阿姨、舅媽=auntie=aunty,初級
A,Australia,noun,澳洲,初級
a,autumn,noun,秋天=fall,初級
a,available,adj.,有空的、可獲得的,初級
a,avoid,verb,避免、避開,初級
a,aware,adj.,意識到、發覺、有...意識的,初級
a,away,adv.,去別處、(距此)...遠、逐漸消失,初級
b,baby,noun,嬰兒、幼稚的人、(暱稱)寶貝,初級
b,babysit,verb,當臨時保姆=baby-sit,初級
b,babysitter,noun,保姆=baby-sitter=babysitter,初級
b,back,noun/adj.,背部、後面；背部的、後面的,初級
b,back,adv.,回原處、返回、向後、在背面,初級
b,back,verb,贊助、支持；使倒退、後退,初級
b,backward,adv./adj.,向後地、倒退地；向後的、倒退的、落後的adv.=backwards(BritishEnglish),初級
b,bad,adj.,壞的、不好的、劣質的,初級
b,badly,adv.,差地、嚴重地；很、非常,初級
b,badminton,noun,羽毛球,初級
b,bag,noun,袋子、一袋(的量),初級
b,bake,verb,烘烤,初級
b,bakery,noun,麵包店,初級
b,balcony,noun,陽台、(劇院的)樓座,初級
b,ball,noun,球、球狀物,初級
b,balloon,noun,氣球,初級
b,banana,noun,香蕉,初級
b,band,noun,樂團、樂隊；帶、細繩；(數目、年齡、價格等的)範圍,初級
b,bank,noun,銀行；堤、岸,初級
b,banker,noun,銀行家、莊家,初級
b,bar,noun,條狀物、條紋、欄杆；酒吧、吧檯,初級
b,bar,noun/verb,障礙；阻擋、禁止,初級
b,barbecue,noun/verb,烤肉、烤肉架、烤肉聚會；燒烤=Bar-B-Q=BBQ,初級
b,barber,noun,理髮師,初級
b,bark,verb/noun,吠叫、咆哮；狗吠聲,初級
b,bark,noun,樹皮,初級
b,base,verb/noun,以...為據點、將總部設在；基地、基底、基礎,初級
b,base,noun,(棒球運動中的)壘,初級
b,baseball,noun,棒球,初級
b,basement,noun,地下室,初級
b,basic,adj.,基本的,初級
b,basis,noun,基礎、根據,初級
b,basket,noun,籃子、線上購物籃,初級
b,basketball,noun,籃球,初級
b,bat,noun,蝙蝠,初級
b,bat,noun/verb,球棒、球拍；用球棒或球拍擊球,初級
b,bath,noun/verb,沐浴、洗澡；(給...)洗澡動詞=bathe,初級
b,bathe,verb,(給...)洗澡、浸泡=bath,初級
b,bathroom,noun,浴室、廁所,初級
b,be,verb,是(助動詞),初級
b,beach,noun,海灘、湖濱,初級
b,bean,noun,豆子、豆莢，豆科植物,初級
b,bear,noun,熊,初級
b,bear,verb,承擔、忍受、負荷；具有；生孩子、結果實,初級
b,beard,noun,鬍鬚,初級
b,beat,verb,打敗、戰勝；敲打、攪打,初級
b,beat,noun,跳動聲、擊鼓聲；節拍,初級
b,beautiful,adj.,美麗的、極好的,初級
b,because,conj.,因為='cos=cos=cuz,初級
b,become,verb,成為、變得,初級
b,bed,noun,床、床位,初級
b,bedroom,noun,臥室,初級
b,bee,noun,蜜蜂,初級
b,beef,noun,牛肉,初級
b,beer,noun,啤酒,初級
b,before,prep./conj./adv.,在…之前、先於；在...以前；曾經、在前,初級
b,begin,verb,開始、以...起頭,初級
b,beginner,noun,初學者、新手,初級
b,beginning,noun,開端、起點,初級
b,behave,verb,表現,初級
b,behind,prep./adv.,在…後面；在背後、在原處、落後於,初級
b,belief,noun,相信、信念、信仰,初級
b,believe,verb,相信,初級
b,bell,noun,鈴、鐘,初級
b,belong,verb,屬於、應在...地方,初級
b,below,adv./prep.,在...下面、低於,初級
b,belt,noun,腰帶,初級
b,bench,noun,長椅,初級
b,beside,prep.,在...旁邊,初級
b,besides,prep./adv.,除…之外；此外、而且,初級
b,best,adv./adj.,最、最適當地；最好的、最適當的,初級
b,best,noun,最好的人或事,初級
b,best,verb,打敗、戰勝,初級
b,better,adv./adj.,更、更好地；更好的、好轉的,初級
b,better,noun,更好的事物、更好者,初級
b,better,verb,勝過、超過,初級
b,between,prep.,在…之間,初級
b,beyond,prep./adv.,遠於、超出；在更遠處,初級
b,bicycle,noun,腳踏車=bike,初級
b,big,adj.,大的、年齡較大的、重大的,初級
b,bill,noun/verb,鈔票、帳單；開立帳單,初級
b,bill,noun,議案、法案,初級
b,biology,noun,生物學,初級
b,bird,noun,鳥,初級
b,birthday,noun,生日,初級
b,bit,noun,稍微、小塊、少量、一點點,初級
b,bite,verb/noun,咬、叮,初級
b,bitter,adj.,有苦味的、(天氣)嚴寒的、怨恨的、令人不快的,初級
b,black,adj./noun,黑色的；黑色,初級
b,blackboard,noun,黑板,初級
b,blame,verb/noun,責備,初級
b,blank,adj./noun,空白的；空白處、空格,初級
b,blanket,noun/verb,毛毯、毯子；以厚層覆蓋,初級
b,blind,adj./verb,失明的、盲目的；使失明、蒙蔽,初級
b,block,noun,街區；大樓；大塊；堵塞物、障礙物,初級
b,block,verb,堵塞；阻擋；擋住；妨礙,初級
b,blood,noun,血液、血統,初級
b,blouse,noun,女襯衫,初級
b,blow,verb,吹；吹奏；擤鼻子；炸毀；爆裂,初級
b,blow,noun,吹；吹奏(樂器)；擤(鼻子)；重擊；打擊,初級
b,blue,adj./noun,藍色的；藍色,初級
b,blue,adj.,悲傷的、憂鬱的,初級
b,board,verb/noun,上(交通工具)；在船上(或其他交通工具),初級
b,board,noun,木板、牌子、佈告欄、黑板或白板、棋盤,初級
b,board,noun,董事會、理事會,初級
b,board,verb/noun,寄宿、住校；(住宿處提供的)伙食、膳食,初級
b,boat,noun,船,初級
b,body,noun,身體、軀幹、屍體,初級
b,boil,verb,(水等)沸騰,初級
b,bomb,noun/verb,炸彈；投彈於、轟炸,初級
b,bone,noun,骨頭,初級
b,book,noun,書、簿冊,初級
b,book,verb,預訂、預約,初級
b,bookcase,noun,書架、書櫃,初級
b,bookstore,noun,書店=bookshop(BritishEnglish),初級
b,bored,adj.,感到無聊的、感到厭煩的,初級
b,boring,adj.,無聊的、乏味的,初級
b,born,verb/adj.,出生、產生；天生的,初級
b,borrow,verb,借入、借貸,初級
b,boss,noun,老闆、上司,初級
b,both,adv./adj./pron.,兩個、兩者、雙方,初級
b,bother,verb/noun,打擾、使人煩擾；麻煩、令人煩惱的人(或事物),初級
b,bottle,noun/verb,瓶子；把(液體)裝入瓶中,初級
b,bottom,noun/adj./verb,底部、屁股；最底下的、最後的；到達底部、降到最低點,初級
b,bottom,noun,套裝的裙或褲,初級
b,bow,verb/noun,鞠躬、點頭致意,初級
b,bowl,noun,碗、缽,初級
b,bowling,noun,保齡球運動,初級
b,box,noun/verb,箱、盒、方格；把...裝箱,初級
b,boy,noun,男孩,初級
b,brain,noun,頭腦,初級
b,branch,noun,樹枝；支流、岔路；分支機構,初級
b,branch,verb,發出新枝；分岔、岔開,初級
b,brave,adj.,勇敢的,初級
b,bread,noun,麵包,初級
b,break,verb/noun,打破、弄壞；毀壞、打破、裂縫,初級
b,break,noun,休息時間、課間休息、假期,初級
b,break,verb/noun,中止、中斷,初級
b,break,verb,違反、違背,初級
b,breakfast,noun,早餐,初級
b,brick,noun,磚塊,初級
b,bridge,noun/verb,橋、橋梁；在...上架橋、縮短差異,初級
b,brief,adj.,簡短的、短暫的,初級
b,brief,noun/verb,概要、簡報；簡報、向...介紹情況,初級
b,bright,adj.,明亮的、鮮豔的、快樂的；聰明的,初級
b,bring,verb,帶來、導致,初級
B,Britain,noun,英國,初級
b,broad,adj.,寬廣的、廣泛的,初級
b,broadcast,noun/verb,廣播(節目)；廣播,初級
b,brother,noun,兄弟,初級
b,brown,adj./noun/verb,棕褐色的；棕褐色；(把食物)炒成褐色,初級
b,brunch,noun,早午餐,初級
b,brush,noun/verb,刷子、畫筆、刷抹；刷、擦掉,初級
b,bucket,noun,水桶、提桶=pail,初級
b,buffet,noun,自助餐,初級
b,bug,noun,小蟲子；病菌；(電腦程式的)漏洞；竊聽器,初級
b,bug,verb,煩擾、使惱怒；裝竊聽器,初級
b,build,verb,建造、開闢,初級
b,building,noun,建築物、房子,初級
b,bun,noun,小圓麵包,初級
b,bundle,noun,束、捆,初級
b,burn,verb,燃燒、著火、發燒,初級
b,burn,verb/noun,燒傷、曬傷、燙傷,初級
b,burst,verb/noun,爆炸、迸裂；爆裂、迸發,初級
b,bus,noun,公車、大客車,初級
b,business,noun,生意、公司、商務活動、職責,初級
b,businessperson,noun,"商人=businessman,businesswoman",初級
b,busy,adj.,忙碌的、繁忙的、(電話)佔線的,初級
b,but,adv./conj./prep.,只有、僅僅；但是；除…以外,初級
b,butter,noun/verb,奶油；塗奶油於,初級
b,butterfly,noun,蝴蝶,初級
b,button,noun/verb,鈕扣、按鈕；扣鈕扣,初級
b,buy,verb/noun,買；購買、買賣,初級
b,by,prep./adv.,藉由、被、在旁邊、早於；經過,初級
c,cabbage,noun,甘藍、包心菜、高麗菜,初級
c,cabinet,noun,櫥櫃,初級
c,cable,noun/verb,電纜、纜繩、有線電視；鋪設電纜,初級
c,cafe,noun,咖啡館=café,初級
c,cafeteria,noun,自助餐廳,初級
c,cage,noun/verb,籠子；關進籠子裡,初級
c,cake,noun,蛋糕,初級
c,calendar,noun,日曆、曆法、行事曆,初級
c,call,verb/noun,打電話；打電話、通話,初級
c,call,verb,給...命名、稱呼、把...視為,初級
c,call,verb/noun,呼叫、鳴叫、召喚,初級
c,calm,adj./verb/noun,冷靜的、平靜的；使冷靜、使鎮靜；寧靜的狀態,初級
c,camera,noun,照相機,初級
c,camp,noun/verb,營地、兵營、陣營；露營、紮營,初級
c,campus,noun,校園、校區,初級
c,can,aux.,(助動詞)能、會、可以,初級
C,Canada,noun,加拿大,初級
c,cancel,verb,取消,初級
c,cancer,noun,癌症,初級
c,candle,noun,蠟燭,初級
c,candy,noun,糖果=sweet(BritishEnglish),初級
c,cap,noun/verb,便帽、蓋；用...覆蓋頂部,初級
c,captain,noun,隊長、機長、船長、上尉,初級
c,car,noun,汽車、車廂,初級
c,card,noun,卡片、紙牌、賀卡,初級
c,care,noun/verb,照顧、擔憂、謹慎；照顧、關心、在意,初級
c,career,noun,職業、生涯,初級
c,careful,adj.,小心的、仔細的,初級
c,careless,adj.,粗心的、不小心的,初級
c,carpet,noun/verb,地毯；用地毯鋪地,初級
c,carrot,noun,胡蘿蔔,初級
c,carry,verb,背、搬運、攜帶、運送,初級
c,cartoon,noun,卡通,初級
c,case,noun,箱、盒、容器；案件、案例,初級
c,cash,noun/verb,現金；兌現,初級
c,castle,noun,城堡、堡壘,初級
c,cat,noun,貓、貓科動物,初級
c,catch,verb/noun,接住、捕捉；罹患、染病；聽見、聽清楚；趕上(交通工具)、追上,初級
c,catch,noun,接球；捕獲量,初級
c,cause,verb/noun,導致、由於；原因、理由,初級
C,CD,noun,光碟=compactdisk,初級
c,ceiling,noun,天花板,初級
c,celebrate,verb,慶祝、祝賀、讚揚,初級
c,cell,noun,細胞；手機；小房間、牢房手機=cellphone,初級
c,cellphone,noun,"手機=cell-phone,cell,mobilephone,mobile",初級
c,cent,noun,分(貨幣單位),初級
c,center,noun/verb,中心點、中心區、活動中心；集中、使置中=centre(BritishEnglish),初級
c,centimeter,noun,公分=centimetre(BritishEnglish)；=cm.,初級
c,central,adj.,中心的,初級
c,century,noun,一百年、世紀,初級
c,cereal,noun,穀物、穀類食物,初級
c,certain,adj.,肯定的、確定的、必然的,初級
c,certainly,adv.,必定、當然,初級
c,chair,noun,椅子,初級
c,chair,noun/verb,主持人、主席、系主任；擔任主席、主持,初級
c,chairperson,noun,"主席、董事長=chair,chairman,chairwoman",初級
c,chalk,noun/verb,粉筆；用粉筆書寫,初級
c,chance,noun,機會、可能性、巧合,初級
c,change,verb,改變；交換、兌換,初級
c,change,noun,改變；零錢,初級
c,channel,noun,電視頻道、渠道、管道、途徑,初級
c,chapter,noun,章節,初級
c,character,noun,角色、人物；個性、特徵,初級
c,charge,verb,收費；指控、控告；指示、吩咐；充電,初級
c,charge,noun,費用；指控、控告；職責、責任；充電量、電荷,初級
c,chart,noun,圖表,初級
c,chase,verb,追趕、追捕、追求,初級
c,chat,verb/noun,聊天,初級
c,cheap,adj./adv.,便宜的、價低質劣的；便宜地、廉價地,初級
c,cheat,verb/noun,欺騙、作弊；欺騙手段、騙子,初級
c,check,noun,支票；帳單；檢查、核對；鉤號支票=cheque(BritishEnglish),初級
c,check,verb,檢查、核對；打勾,初級
c,cheer,verb/noun,歡呼、鼓舞；歡呼聲、歡樂,初級
c,cheese,noun,起司、乳酪,初級
c,chemical,noun/adj.,化學製品；化學的,初級
c,chess,noun,西洋棋,初級
c,chicken,noun,雞肉、雞,初級
c,chief,adj./noun,首要的、最主要的、首席的；領導人、首領,初級
c,child,noun,小孩、兒童,初級
c,childhood,noun,童年、孩童時期,初級
c,childish,adj.,孩子氣的、稚嫩的、幼稚的,初級
c,childlike,adj.,孩子般的、天真無邪的,初級
c,chin,noun,下巴,初級
C,China,noun,中國,初級
C,Chinese,noun/adj.,中文、中國人；中國的、中國人的,初級
c,chocolate,noun,巧克力,初級
c,choice,noun/adj.,選擇、選項；優質的、上等的,初級
c,choose,verb,選擇、挑選,初級
c,chopstick,noun,筷子,初級
C,Christmas,noun,聖誕節=Xmas,初級
c,chubby,adj.,圓胖的,初級
c,church,noun,教堂、教會,初級
c,circle,noun/verb,圓形、圓圈、圈子；畫圓圈、圈出、盤旋,初級
c,citizen,noun,公民、居民,初級
c,city,noun,城市,初級
c,claim,verb,聲稱、主張；認領、索取；索款、索賠,初級
c,claim,noun,說法、斷言；權利、所有權,初級
c,clap,verb/noun,拍手、鼓掌,初級
c,class,noun,課、班級,初級
c,class,noun/verb,階級、等級；把...歸類、把...分級,初級
c,classic,adj./noun,古典的、典型的、經典的；經典作品、名著,初級
c,classical,adj.,古典的、經典的、傳統的,初級
c,classmate,noun,同班同學,初級
c,classroom,noun,教室,初級
c,clean,adj./verb/noun,乾淨的、清潔的；清潔、打掃；清潔、打掃,初級
c,clean,adj./adv.,完全的、徹底的；完全地、徹底地,初級
c,clear,verb,清除、清掃；使變清楚、使清晰,初級
c,clear,adj.,清楚的、清晰的；暢通的、無阻礙的；不接觸的、不靠近的,初級
c,clear,adv.,不觸及地、不靠近地,初級
c,clerk,noun,店員、職員,初級
c,clever,adj.,聰迷的、機靈的、精巧的,初級
c,click,verb/noun,點按(滑鼠),初級
c,climate,noun,氣候,初級
c,climb,verb/noun,爬、攀登,初級
c,climb,verb,上升、晉升、上漲、增長,初級
c,clock,noun,時鐘,初級
c,close,verb,關閉(門窗)、合攏；(商點或場所)關門、不開放、停業,初級
c,close,verb/noun,結束、停止；結局、結尾,初級
c,close,adj./adv.,(空間或時間上)靠近、接近,初級
c,close,adj.,親密的、密切的,初級
c,closet,noun,衣櫥、壁櫥,初級
c,clothes,noun,衣服,初級
c,cloudy,adj.,多雲的、陰天的,初級
c,club,noun,俱樂部、社團,初級
c,coach,noun/verb,教練；培訓、指導,初級
c,coast,noun,海岸,初級
c,coat,noun,外套、大衣,初級
c,cockroach,noun,蟑螂=roach,初級
c,coffee,noun,咖啡,初級
c,coin,noun,硬幣,初級
C,Coke,noun,可口可樂,初級
c,cola,noun,可樂=Coke,初級
c,cold,adj./noun,冷的、冷淡的；寒冷、感冒,初級
c,collect,verb,收集,初級
c,collection,noun,收藏品、收集,初級
c,college,noun,大學、學院,初級
c,color,noun/verb,顏色；著色=colour(BritishEnglish),初級
c,colorful,adj.,色彩豐富的=colourful(BritishEnglish),初級
c,comb,noun/verb,梳子；梳理,初級
c,come,verb,來,初級
c,comfortable,adj.,舒適的,初級
c,comic,adj.,滑稽的、好笑的,初級
c,comic,noun,漫畫,初級
c,command,verb/noun,命令、指揮、掌握,初級
c,comment,noun/verb,評論,初級
c,common,adj.,常見的、共同的,初級
c,company,noun,公司；陪伴,初級
c,compare,verb,比較,初級
c,complain,verb,抱怨,初級
c,complete,verb/adj.,完成、使完整；完全的、完整的,初級
c,computer,noun,電腦,初級
c,concern,noun/verb,擔心、關心,初級
c,confident,adj.,自信的,初級
c,confirm,verb,確認,初級
c,conflict,noun,衝突,初級
C,Confucius,noun,孔子,初級
c,confuse,verb,使…困惑,初級
c,congratulation,noun,祝賀,初級
c,consider,verb,考慮、認為,初級
c,contact,noun/verb,聯繫、接觸;聯繫,初級
c,contactlens,noun,隱形眼鏡,初級
c,contain,verb,包含,初級
c,continue,verb,繼續,初級
c,contract,noun/verb,合約；訂約,初級
c,control,noun/verb,控制,初級
c,conveniencestore,noun,便利商店,初級
c,convenient,adj.,方便的,初級
c,conversation,noun,對話,初級
c,cook,verb/noun,烹調；廚師,初級
c,cookie,noun,(甜)餅乾,初級
c,cool,adj./verb,涼快的、酷的；使冷卻,初級
c,copy,noun/verb,副本；複製,初級
c,corn,noun,玉米,初級
c,corner,noun,角落、轉角,初級
c,correct,adj./verb,正確的；改正,初級
c,cost,noun/verb,費用、成本；花費,初級
c,cotton,noun,棉,初級
c,couch,noun,沙發,初級
c,cough,verb/noun,咳嗽,初級
c,could,aux.,can的過去式,初級
c,count,verb/noun,數、計算；計數、計算,初級
c,country,noun,國家；鄉下,初級
c,countryside,noun,鄉間,初級
c,county,noun,縣、郡,初級
c,couple,noun,一對、幾個、一對情侶或夫妻,初級
c,courage,noun,勇氣,初級
c,course,noun,課程,初級
c,court,noun,法庭；球場,初級
c,cousin,noun,堂(表)兄弟姊妹,初級
c,cover,verb/noun,遮蓋、涵蓋；覆蓋物、封面,初級
c,cow,noun,母牛,初級
c,crab,noun,螃蟹,初級
c,crayon,noun,蠟筆,初級
c,crazy,adj.,瘋狂的,初級
c,cream,noun,鮮奶油、奶霜；乳霜、護膚霜,初級
c,create,verb,創造,初級
c,creditcard,noun,信用卡,初級
c,crime,noun,罪行,初級
c,crisis,noun,危機,初級
c,cross,verb,穿越、交叉,初級
c,cross,noun,十字架、十字形,初級
c,crowd,noun,人群,初級
c,crowded,adj.,擁擠的,初級
c,cruel,adj.,殘酷的,初級
c,cry,verb/noun,哭泣、喊叫,初級
c,culture,noun,文化,初級
c,cup,noun,杯子,初級
c,cure,noun/verb,有療效的藥物、治療方法；治癒,初級
c,curious,adj.,好奇的,初級
c,current,adj.,當前的,初級
c,current,noun,水流、氣流、電流,初級
c,curtain,noun,窗簾、幕布,初級
c,curve,noun/verb,曲線；使彎曲,初級
c,custom,noun,習俗,初級
c,customer,noun,顧客,初級
c,cut,verb/noun,切、割、修剪；割傷,初級
c,cute,adj.,可愛的,初級
d,dad,noun,爸爸=daddy=papa,初級
d,daily,adj./adv.,每日的；每日地,初級
d,damage,noun/verb,損害,初級
d,dance,verb/noun,跳舞,初級
d,danger,noun,危險,初級
d,dangerous,adj.,危險的,初級
d,dark,noun/adj.,黑暗；黑暗的、深色的,初級
d,data,noun,資料datum(singularform),初級
d,date,noun/verb,日期、約會；寫日期、約會,初級
d,daughter,noun,女兒,初級
d,dawn,noun/verb,黎明；破曉,初級
d,day,noun,天、白天,初級
d,dead,adj.,死亡的,初級
d,deaf,adj.,聾的,初級
d,deal,verb,做生意、買賣；處理；分發、發牌,初級
d,deal,noun,交易、協議,初級
d,dear,adj./noun/interj.,親愛的；親愛的；哎呀,初級
d,death,noun,死亡,初級
d,debate,noun/verb,辯論,初級
d,debt,noun,債、負債,初級
D,December,noun,十二月=Dec.,初級
d,decide,verb,決定,初級
d,decision,noun,決定,初級
d,decorate,verb,裝飾,初級
d,decrease,verb/noun,減少,初級
d,deep,adj./adv.,深的；深地,初級
d,deer,noun,鹿,初級
d,degree,noun,度、程度,初級
d,delay,noun/verb,延誤、耽擱,初級
d,delicious,adj.,美味的,初級
d,deliver,verb,運送,初級
d,democracy,noun,民主,初級
d,democratic,adj.,民主的,初級
d,dentist,noun,牙醫,初級
d,deny,verb,否認,初級
d,department,noun,部門,初級
d,departmentstore,noun,百貨公司,初級
d,depend,verb,取決於、依靠,初級
d,describe,verb,描述,初級
d,desert,verb,遺棄,初級
d,desert,noun,沙漠,初級
d,design,noun/verb,設計,初級
d,desire,noun/verb,渴望,初級
d,desk,noun,書桌,初級
d,dessert,noun,甜點,初級
d,determine,verb,決定、下決心,初級
d,develop,verb,發展,初級
d,dial,verb/noun,撥號；撥號盤、錶面,初級
d,diamond,noun,鑽石；菱形,初級
d,diary,noun,日記,初級
d,dictionary,noun,字典,初級
d,die,verb,死,初級
d,diet,noun/verb/adj.,飲食、節食；節食；飲食的、節食的,初級
d,difference,noun,差別,初級
d,different,adj.,不同的,初級
d,difficult,adj.,困難的,初級
d,difficulty,noun,困難,初級
d,dig,verb,挖,初級
d,diligent,adj.,勤奮的,初級
d,diningroom,noun,餐廳、飯廳,初級
d,dinner,noun,晚餐,初級
d,dinosaur,noun,恐龍,初級
d,diplomat,noun,外交官,初級
d,direct,adj.,直接的,初級
d,direct,verb,針對、指揮,初級
d,direction,noun,方向,初級
d,director,noun,導演、主管,初級
d,dirty,adj./verb,髒的；弄髒,初級
d,disappear,verb,消失,初級
d,discover,verb,發現,初級
d,discuss,verb,討論,初級
d,discussion,noun,討論,初級
d,dish,noun,盤、菜餚,初級
d,dishonest,adj.,不誠實的,初級
d,distance,noun,距離,初級
d,divide,verb,分開、劃分,初級
d,division,noun,分開；部門,初級
d,dizzy,adj.,頭暈的,初級
d,do,verb,做,初級
d,do,aux.,助動詞,初級
d,doctor,noun,醫生、博士,初級
d,document,noun,文件,初級
d,dodgeball,noun,躲避球,初級
d,dog,noun,狗,初級
d,doll,noun,玩偶,初級
d,dollar,noun,元=buck,初級
d,dolphin,noun,海豚,初級
d,donkey,noun,驢,初級
d,door,noun,門,初級
d,dot,noun,小圓點,初級
d,double,adj./verb/noun,雙重的；加倍；兩倍,初級
