字母開頭,字彙,詞類,中文,級數
c,chip,noun,炸薯條、炸洋芋片、炸玉米片；(電腦的)晶片；(缺落的)碎屑、碎片、(杯碟的)缺口,中級
c,chip,verb,(使)掉碎片、打破,中級
c,choke,verb/noun,(使)窒息、(使)哽噎、堵塞；窒息、哽噎、嗆住的聲音,中級
c,chop,verb,剁、切、砍,中級
c,chop,noun,(豬、羊)排骨、帶骨的肉塊,中級
c,chore,noun,日常事務、乏味的例行工作,中級
c,chorus,noun,副歌、合唱曲、合唱團、伴唱,中級
C,Christian,adj./noun,基督教的、基督徒的；基督徒,中級
c,cigar,noun,雪茄,中級
c,cigarette,noun,香菸,中級
c,cinema,noun,電影院,中級
c,circular,adj.,圓的、環形的、循環的,中級
c,circular,noun,(大量送發的)通報、傳單,中級
c,circulate,verb,循環、環行；傳播、傳閱、散佈,中級
c,circulation,noun,血液循環、消息傳播、貨幣流通,中級
c,circumstance,noun,條件、狀況、環境,中級
c,circus,noun,馬戲團、馬戲表演,中級
c,civil,adj.,平民的、國家的、民事的,中級
c,civilian,adj./noun,平民的；平民,中級
c,civilization,noun,文明、文明社會,中級
c,civilize,verb,使文明、教化,中級
c,clarify,verb,闡明、澄清,中級
c,clash,noun/verb,衝突、打鬥、爭論,中級
c,classification,noun,分類、類別、分類法,中級
c,classify,verb,分類、區分,中級
c,claw,noun/verb,爪、螯；用爪或指甲抓,中級
c,clay,noun,黏土,中級
c,cleaner,noun,清潔工、吸塵器、清潔劑,中級
c,client,noun,客戶、委託人,中級
c,cliff,noun,懸崖、峭壁,中級
c,climax,noun/verb,頂點、高潮、最精采的部分；達到頂點、達到高潮,中級
c,climber,noun,攀登者、登山者,中級
c,clinic,noun,診所、醫院門診、門診時間,中級
c,clip,verb,修剪；(用夾子)夾住,中級
c,clip,noun,修剪；夾子、迴紋針；(電影或電視節目的)剪輯、片段,中級
c,cloth,noun,布、布料、抹布,中級
c,clothe,verb,給...穿衣、為...提供衣服,中級
c,clothing,noun,衣服、服裝,中級
c,cloud,noun,雲、雲狀物、(網路)雲端,中級
c,cloud,verb,(雲、煙等)遮蔽、使模糊,中級
c,clown,noun/verb,小丑；扮小丑、扮傻,中級
c,clue,noun,線索,中級
c,clumsy,adj.,笨拙的、不靈活的、笨手笨腳的,中級
c,coal,noun,煤,中級
c,coarse,adj.,粗糙的、不光滑的；粗俗的、粗魯無禮的,中級
c,cock,noun,公雞、雄鳥,中級
c,cocktail,noun,雞尾酒,中級
c,cocoa,noun,可可粉、熱可可,中級
c,coconut,noun,椰子,中級
c,code,noun,密碼、代碼、編碼；法規、行為準則、規範,中級
c,code,verb,把...譯成密碼、編碼,中級
c,coincidence,noun,巧合、同時發生,中級
c,collapse,verb/noun,倒塌、崩潰、失敗、昏倒,中級
c,collar,noun,衣領、項圈,中級
c,colleague,noun,同事,中級
c,colony,noun,殖民地、群體、群落,中級
c,colored,adj.,彩色的、有...色彩的,中級
c,column,noun,(書報雜誌上的)欄、專欄；石柱、紀念柱；(人或車輛的)縱隊、長列,中級
c,combination,noun,組合、結合、混合,中級
c,combine,verb,結合、混合,中級
c,comedian,noun,喜劇演員,中級
c,comedy,noun,喜劇,中級
c,comfort,verb,安慰、撫慰,中級
c,comfort,noun,舒服；安慰、慰藉、令人感到安慰的人事物；舒適的設施或條件,中級
c,coming,adj./noun,即將到來的、下一個的；到來、來臨,中級
c,commander,noun,指揮官,中級
c,commerce,noun,商業、貿易,中級
c,commercial,adj./noun,商業的、商業化的、以營利為目的的；商業廣告,中級
c,commission,noun/verb,委任、委員會；委託,中級
c,commission,noun,佣金、手續費,中級
c,commit,verb,犯(罪、錯)；承諾、致力於、投入(時間或金錢),中級
c,commitment,noun,承諾、保證、奉獻,中級
c,committee,noun,委員會,中級
c,communicate,verb,交流、溝通,中級
c,communication,noun,交流、溝通,中級
c,communist,adj./noun,共產主義的、共產黨的；共產主義者、共產黨員,中級
c,community,noun,社區、團體,中級
c,companion,noun/verb,同伴、陪伴；陪伴,中級
c,comparative,adj./noun,相對的、比較的；(形容詞或副詞的)比較級,中級
c,comparison,noun,比較、對比,中級
c,compete,verb,競爭、參加比賽,中級
c,competition,noun,競賽、競爭,中級
c,competitive,adj.,競爭的、(價格、服務等)有競爭力的,中級
c,competitor,noun,競爭者、參賽者,中級
c,complaint,noun,埋怨、投訴,中級
c,complex,adj./noun,複雜的、難懂的；複合物、建築群、綜合大樓,中級
c,complicate,verb,使複雜化、使費解、使(疾病)惡化,中級
c,compliment,noun/verb,稱讚、道賀；讚美、稱讚,中級
c,compose,verb,組成、構成；作曲、撰寫(信函、講稿、詩歌等),中級
c,composer,noun,作曲家,中級
c,composition,noun,作文、作曲、作品；成分、結構,中級
c,compound,noun/adj./verb,化合物、複合物、複合詞；複合的；使混合,中級
c,compound,verb,使惡化、使加劇,中級
c,comprehension,noun,理解力、理解力測試,中級
c,compute,verb,計算,中級
c,conceal,verb,隱藏、掩飾,中級
c,concentrate,verb,專心、專注、集中(注意力),中級
c,concentration,noun,專注、重視、集中,中級
c,concept,noun,概念,中級
c,concerning,prep.,關於,中級
c,concert,noun,音樂會、演唱會,中級
c,conclude,verb,作出結論、斷定、結束,中級
c,conclusion,noun,結論、結尾,中級
c,concrete,noun/verb,混凝土；用混凝土覆蓋,中級
c,concrete,adj.,具體的、有形的,中級
c,condition,verb,使適應、使習慣於；為...的條件；使健康、養護(頭髮、皮膚等),中級
c,condition,noun,狀況、狀態；條件、環境；條款,中級
c,conduct,verb,執行、引導、指揮(合唱團或樂隊)；表現、舉止,中級
c,conduct,noun,行為、舉止,中級
c,conductor,noun,(合唱團或樂隊的)指揮、列車長,中級
c,cone,noun,圓錐體、冰淇淋筒,中級
c,conference,noun,會議、研討會,中級
c,confess,verb,承認(錯誤或罪行)、坦白,中級
c,confidence,noun,信心、自信,中級
c,confine,verb,限制、監禁,中級
c,confront,verb,面臨(困境)、克服、對抗,中級
c,confrontation,noun,對抗、衝突,中級
c,confusion,noun,困惑、混淆、混亂局面,中級
c,congratulate,verb,祝賀、道賀,中級
c,congress,noun,代表大會、國會、議會,中級
c,conjunction,noun,(語法)連接詞；結合、同時發生、與...一起,中級
c,connect,verb,連接、和...有關聯、與(人)建立良好關係,中級
c,connection,noun,聯繫、關聯、連接,中級
c,conquer,verb,征服、戰勝,中級
c,conscience,noun,良心,中級
c,conscious,adj.,有知覺的、意識到的,中級
c,consequence,noun,結果、後果,中級
c,consequent,adj.,隨之發生的,中級
c,conservative,adj./noun,保守的；保守者,中級
c,considerable,adj.,相當大的、相當多的、可觀的,中級
c,considerate,adj.,體貼的,中級
c,consideration,noun,考慮、需考慮之事、體貼,中級
c,consist,verb,在於、由…組成,中級
c,consistent,adj.,持續的、始終如一的；一致的、吻合的,中級
c,consonant,noun,子音,中級
c,constant,adj.,連續不斷的、固定的,中級
c,constitute,verb,組成、構成；被視為；(合法或正式地)設立、成立,中級
c,constitution,noun,結構、構造；憲法、章程；體質、體格,中級
c,construct,verb/noun,建造、組成；概念、構想,中級
c,construction,noun,建造、結構、建築物,中級
c,constructive,adj.,建設性的、有助益的,中級
c,consult,verb,諮詢、商議,中級
c,consultant,noun,顧問,中級
c,consume,verb,消耗、花費；(大量地)吃、喝,中級
c,consumer,noun,消費者、用戶,中級
c,container,noun,容器,中級
c,contemporary,adj./noun,當代的、同時期的；同時代的人、同輩,中級
c,content,adj./verb,滿意的、知足的；滿足於,中級
c,content,noun,內容、目錄名詞常使用複數形態,中級
c,contest,noun/verb,比賽、競爭；競爭、爭取、爭辯,中級
c,context,noun,語境、上下文、(事情發生的)背景,中級
c,continent,noun,洲、大陸,中級
c,continental,adj.,洲的、大陸的,中級
c,continual,adj.,頻繁的、連續的,中級
c,continuous,adj.,不斷的、連續的,中級
c,contrary,adj./noun,相反的、完全不同的；反面、相反事物,中級
c,contrast,noun/verb,差異、對比；對比、顯出明顯差異,中級
c,contribute,verb,貢獻、捐款；投稿、撰稿,中級
c,contribution,noun,貢獻、捐款、捐助；投稿,中級
c,convenience,noun,便利性、便利設施,中級
c,convention,noun,傳統、習俗、常規；大會、會議；公約、協定,中級
c,conventional,adj.,遵循常規的、傳統的,中級
c,converse,verb,交談,中級
c,convey,verb,表達、傳送,中級
c,convince,verb,使相信、說服,中級
c,cooker,noun,爐具,中級
c,cooperate,verb,合作、配合,中級
c,cooperation,noun,合作、配合,中級
c,cooperative,adj./noun,合作的、配合的；合作企業,中級
c,cope,verb,處理、應付,中級
c,copper,noun/adj.,銅、紫銅色；銅製的、紫銅色的,中級
c,cord,noun,線、繩,中級
c,corporation,noun,(大)公司=Corp.,中級
c,correspond,verb,一致、符合；通信,中級
c,correspondent,noun,記者、通信者,中級
c,corridor,noun,走廊、通道,中級
c,costly,adj.,昂貴的、代價高的,中級
c,costume,noun,戲服,中級
c,cottage,noun,小屋,中級
c,council,noun,委員會、地方議會,中級
c,counter,noun,櫃檯、計數器,中級
c,counter,verb,反駁,中級
c,courageous,adj.,勇敢的,中級
c,courteous,adj.,有禮貌的,中級
c,courtesy,noun,禮貌,中級
c,coward,adj./noun,膽小的；懦夫,中級
c,cowboy,noun,牛仔,中級
c,crack,noun/verb,裂縫；斷裂,中級
c,cradle,noun,搖籃、發源地,中級
c,cradle,verb,輕輕地抱著,中級
c,craft,noun,工藝、技術；船、艇、航空飛行器,中級
c,cram,verb,塞滿、擠滿、(考試前)死記硬背,中級
c,crane,noun,起重機；鶴,中級
c,crane,verb,探出(頭)、伸長(脖子),中級
c,crash,verb,碰撞、墜毀；破產、崩盤；(電腦或系統)當機,中級
c,crash,noun,撞車事故、失事；碰撞聲；暴跌、倒閉；(電腦或系統)當機,中級
c,crawl,verb/noun,爬行、緩慢行進,中級
c,creation,noun,創造、創作,中級
c,creative,adj.,有創意的,中級
c,creator,noun,創造者、發明者,中級
c,creature,noun,生物,中級
c,credit,noun,讚許；(經濟上的)信用、賒帳、信用貸款；學分,中級
c,credit,verb,把錢存進帳戶；歸功於,中級
c,creep,verb/noun,躡手躡腳、爬行,中級
